domestication,Accession,Origin,Species,Subspecies,RXSA,TCA,TSA,TSA.RXSA,TSA.TCA,AA,pct.A,CCA,pct.CCA,XVA,CC,CF,RDW,SDW,RDW.SDW,StemDia,Sem,Nod,NodLen,SysDia,AvgDia,Tips,Forks
Teosinte,PI 384062,"Mexico, Guerrero",Zea mays,parviglumis,1.262,0.93,0.333,0.262,0.355,0.135,12.6,0.795,62.94,0.057,635.2,10.8,1.9,13.3,0.14,12.5,0,28.5,76.8,37,0.6,150,470
Teosinte,PI 384063,"Mexico, Mexico",Zea mays,parviglumis,1.031,0.798,0.233,0.225,0.29,0.01,1.1,0.789,76.5,0.039,810.5,11.3,0.9,11.6,0.08,16.7,0.5,20,71,42,0.5,284.5,894.5
Teosinte,PI 384065,"Mexico, Guerrero",Zea mays,parviglumis,1.428,1.043,0.384,0.272,0.374,0.05,4.3,0.994,69.6,0.051,968,12.2,0.8,7.4,0.11,18,0.5,13,66.5,44,0.6,271.5,1016
Teosinte,PI 384066,"Mexico, Guerrero",Zea mays,parviglumis,1.021,0.775,0.246,0.236,0.309,0.008,0.86,0.767,75.11,0.039,603.2,10.5,1.8,12.6,0.14,20,0.5,22,77,39.5,0.6,208,725.5
Teosinte,PI 384069,"Mexico, Guerrero",Zea mays,parviglumis,1.124,0.864,0.261,0.226,0.293,0.103,8.59,0.761,67.64,0.039,605,9.8,2.3,12,0.19,22,0.5,22.5,74.8,37.5,1.1,92.5,277.5
Teosinte,PI 384071,"Mexico, Guerrero",Zea mays,parviglumis,0.766,0.538,0.227,0.297,0.423,0.086,16.1,0.452,59.02,0.043,472,9.7,5.8,24.6,0.24,21,1,37,90,46,0.4,415,1534
Teosinte,PI 422162,"Mexico,Chapingo",Zea mays,mexicana,1.037,0.751,0.287,0.274,0.38,0.116,15.1,0.634,61.18,0.044,536.3,9.4,1.6,14.5,0.11,15.7,0,16.7,91.7,44.7,0.4,336,810
Teosinte,PI 441933,"Guatamala, Jutiapa",Zea luxurians,,0.915,0.678,0.237,0.255,0.343,0.135,15.3,0.562,61.43,0.035,401,8.3,4.3,14.1,0.3,19,0,28,90.3,54,0.4,204.7,449
Teosinte,PI 441934,"Guatamala, Huehuetenango",Zea mays,huehuetenangensis,0.857,0.647,0.211,0.25,0.335,0.012,2,0.635,74.03,0.032,543.3,9.6,3.9,12.5,0.31,17,0.7,34.7,90.2,73,0.5,132.7,331.3
Teosinte,PI 566674,"Mexico, Durango",Zea mays,mexicana,0.639,0.484,0.154,0.241,0.318,0.01,2.02,0.475,74.32,0.03,451.5,9.2,1.9,14.3,0.13,21.7,1,27,71.5,54.5,0.4,216,522
Teosinte,PI 566677,"Mexico, Michoacan",Zea mays,mexicana,0.901,0.692,0.21,0.235,0.309,0.047,6.36,0.645,71.53,0.042,620.4,9.8,2.7,14.6,0.18,24.3,0.3,27.7,88.2,60.3,0.5,238,692.7
Teosinte,PI 566680,"Mexico, Guanajuato",Zea mays,mexicana,0.553,0.418,0.135,0.246,0.327,0.008,1.78,0.41,74.15,0.026,423.2,8.6,2.1,13.4,0.16,21,1.3,31,81.3,52.7,0.4,203.3,562.7
Teosinte,PI 566682,"Mexico, Federal District",Zea mays,mexicana,0.889,0.669,0.22,0.247,0.329,0.071,6.29,0.598,67.27,0.05,556.7,9.9,5.3,15.4,0.34,20.3,0.3,35.5,74,65.3,0.4,153,443.3
Teosinte,PI 566685,"Mexico, Mexico",Zea mays,mexicana,0.948,0.68,0.268,0.272,0.377,0.016,2.08,0.664,70.04,0.044,641.9,10,3.7,17.3,0.21,22,1.3,36.7,83.5,72.3,0.4,251.3,886
Teosinte,PI 566686,"Mexico, Guerrero",Zea mays,mexicana,1.204,0.912,0.292,0.239,0.318,0.105,11.7,0.807,67.04,0.052,617.8,10.3,1.6,8.5,0.19,13.3,0.7,13,68.5,34,0.5,201.7,548
Teosinte,PI 566687,"Mexico, Mexico",Zea mays,mexicana,1.031,0.734,0.297,0.285,0.401,0.046,7.98,0.688,66.73,0.046,475.4,9.4,2.2,12,0.18,19.7,0.3,22.3,73,44,0.7,256.7,783
Teosinte,PI 566688,"Mexico, Guerrero",Zea mays,mexicana,0.896,0.669,0.228,0.261,0.356,0.056,6.04,0.612,68.31,0.034,632.1,9.7,3.1,12.9,0.24,19,0.7,25.3,76.3,54.7,0.5,182.3,565
Teosinte,PI 566689,"Mexico, Mexico",Zea mays,mexicana,0.889,0.665,0.224,0.252,0.338,0.04,6.02,0.625,70.28,0.057,496.7,10.7,4.3,14,0.31,18,1,28,100,55.5,0.6,319.7,1262.3
Teosinte,PI 566691,"Mexico, Michoacan",Zea mays,mexicana,1.097,0.805,0.292,0.249,0.337,0.054,5.1,0.752,68.52,0.045,773.1,11,2.5,13,0.19,19,0,24.5,82,48.3,0.4,186,476.3
Teosinte,PI 566692,"Mexico, Michoacan",Zea mays,mexicana,1.671,1.313,0.359,0.214,0.272,0.169,10.5,1.144,68.43,0.04,759.7,11.8,1.9,8.2,0.23,15.5,0,22.5,86.3,35,0.6,302.5,1078.5
Teosinte,PI 615697,"Nicaragua, Chinandega",Zea nicaraguensis,,1.707,1.326,0.381,0.222,0.285,0.343,22.8,0.983,57.61,0.048,690,11,1,7.5,0.13,13.7,0,16.3,65.8,37.3,0.9,188.7,673.3
Landrace,Ames 16950,Bolivia,Zea mays,,0.935,0.647,0.288,0.291,0.424,0.111,15.71,0.536,57.29,0.052,522.6,8.8,0.6,8.7,0.07,14.7,2,18,73.3,39.3,0.8,68.7,169
Landrace,Ames 1903,"USA, Maryland",Zea mays,,0.815,0.566,0.249,0.306,0.441,0.013,2.12,0.553,67.91,0.059,542.2,9.4,2.2,17.2,0.13,21.3,2,19,92.8,72,0.5,192.3,516.7
Landrace,Ames 19097,"USA, Iowa",Zea mays,,1.02,0.747,0.272,0.271,0.375,0.024,3.11,0.723,70.95,0.069,542.8,10.2,5.4,29.1,0.19,23.7,4,21.7,78,67,0.4,307.7,862.7
Landrace,Ames 19467,"Mexico, Guerrero",Zea mays,,0.864,0.639,0.225,0.26,0.353,0.012,1.7,0.628,72.66,0.053,659.2,10.6,3.6,23.2,0.16,25.5,3,30,94.3,79.5,0.5,176.5,557.5
Landrace,Ames 19532,"Mexico, Jalisco",Zea mays,,0.6,0.435,0.165,0.276,0.381,0.001,0.16,0.434,72.32,0.044,559,9,2.8,20.3,0.14,26,5,20,84,57,0.4,192,420
Landrace,Ames 19540,"Mexico, Jalisco",Zea mays,,0.572,0.437,0.135,0.235,0.307,0.005,1.25,0.432,75.51,0.022,444,8.9,1.3,10.8,0.12,17.7,4,24,70.8,60.7,0.6,177.3,398
Landrace,Ames 19617,"Mexico, Nayarit",Zea mays,,1.135,0.844,0.292,0.258,0.347,0.068,6.41,0.775,68.29,0.056,698.7,10.7,1.5,15.5,0.1,20,1,,89.5,30,0.5,195,423.5
Landrace,Ames 19688,"Mexico, Puebla",Zea mays,,0.675,0.487,0.188,0.279,0.387,0.022,4.59,0.464,68.83,0.04,526.7,9,1.2,3.3,0.36,22,6,16,65,54,0.4,158,378
Landrace,Ames 19802,"Mexico, Zacatecas",Zea mays,,0.676,0.489,0.187,0.281,0.393,0.009,1.81,0.479,70.89,0.042,437.6,8.6,1.6,17.5,0.09,21,5,16.7,82.7,49.7,0.4,258,617.3
Landrace,Ames 19879,"Mexico, Puebla",Zea mays,,0.592,0.421,0.171,0.288,0.406,0.007,1.55,0.415,70.04,0.028,408.3,8.7,1.6,19,0.08,22,2,24,69.5,80,0.4,136,223
Landrace,Ames 19897,"Mexico, Oaxaca",Zea mays,,0.993,0.712,0.281,0.284,0.398,0.054,8.3,0.658,66.23,0.056,535.8,9.4,6.8,29.9,0.23,24.3,4.3,26,82.7,85,0.5,174.3,576.3
Landrace,Ames 19907,"Mexico, Oaxaca",Zea mays,,0.738,0.565,0.173,0.234,0.306,0.015,2.59,0.55,74.54,0.041,518,9.3,0.8,10.9,0.07,19,5,18,76,64,0.5,280,997
Landrace,Ames 19924,"Mexico, Guerrero",Zea mays,,1.17,0.808,0.362,0.304,0.445,0.052,6.1,0.756,64.65,0.07,681.8,10.2,2,17.8,0.11,21,3,21.5,100.3,66.5,0.5,142,379
Landrace,Ames 19926,"Mexico, Guerrero",Zea mays,,1.448,1.017,0.431,0.295,0.421,0.1,9.94,0.917,63.34,0.087,854,11.8,3.7,25.6,0.14,24.7,5.7,18.3,77.3,79.7,0.5,235.7,585.3
Landrace,Ames 19946,"Mexico, Nayarit",Zea mays,,1.323,0.96,0.364,0.278,0.386,0.044,5.8,0.916,69.18,0.087,790.1,11.6,5.2,28.7,0.18,25.7,3.3,19.7,100.5,71,0.4,199,619
Landrace,Ames 19962,"Mexico, Mexico",Zea mays,,0.817,0.61,0.208,0.255,0.347,0.069,8.22,0.541,66.18,0.046,613.3,9.9,1,16.6,0.06,18,3,15,73.8,42,0.4,204,438
Landrace,Ames 19970,"Mexico, Oaxaca",Zea mays,,1.065,0.77,0.295,0.275,0.381,0.008,1.04,0.762,71.58,0.066,757.6,11.2,6.1,36.6,0.17,25,3.3,22.3,89.5,59.3,0.4,263.7,756.7
Landrace,Ames 19981,"Mexico, Oaxaca",Zea mays,,1.042,0.764,0.277,0.267,0.364,0.045,5.93,0.72,69.08,0.067,549.5,9.8,2.7,24.2,0.11,19.3,3.7,16,87.3,63,0.5,209.3,477
Landrace,NSL 106891,"USA, Florida",Zea mays,,1.308,0.952,0.357,0.269,0.37,0.171,16.25,0.781,59.71,0.086,647,11,5.1,31.7,0.16,24,2.5,20,88.8,74,0.5,304,964
Landrace,NSL 6544,"Paraguay, mislones",Zea mays,,0.792,0.599,0.192,0.234,0.317,0.077,12.57,0.523,66.06,0.036,504.5,10,2,17.5,0.11,19,2,20.5,102.3,81,0.4,175.5,541.5
Landrace,NSL 6547,Argentina,Zea mays,,0.625,0.486,0.139,0.226,0.292,0.122,19.5,0.364,58.24,0.035,309.2,7.5,0.7,6.6,0.11,18.5,6,14.5,63,44.5,0.5,153.5,360.5
Landrace,NSL 6549,"Brazil, Sao Paulo",Zea mays,,0.889,0.642,0.247,0.284,0.397,0.008,1.15,0.634,71.31,0.059,583.3,9.5,3,15.5,0.19,23,3.5,17.5,81.8,47.5,0.5,323,1303.5
Landrace,PI 213706,"USA, Iowa",Zea mays,,0.96,0.662,0.298,0.309,0.447,0.024,4.85,0.638,66.44,0.066,518,9.2,4.9,26.9,0.18,24.3,5,22,84.2,65,0.6,184.7,476.7
Landrace,PI 217404,Argentina,Zea mays,,0.978,0.684,0.294,0.301,0.43,0.005,0.73,0.679,69.43,0.056,351,8,0.5,7.6,0.07,14,2,14,74.5,44,,,
Landrace,PI 218180,"USA, Arizona",Zea mays,,1.306,0.974,0.332,0.254,0.341,0.052,5,0.923,70.64,0.075,753.1,11.4,1.9,18,0.11,21.7,3.3,18,93.3,55.3,0.6,149.3,370.3
Landrace,PI 218186,"USA, Arizona",Zea mays,,0.939,0.661,0.278,0.301,0.433,0.016,2.83,0.645,68.7,0.061,565.9,9.3,4.6,34.1,0.13,20.3,4.5,21,97.5,45.7,0.5,128.3,346
Landrace,PI 221881,"USA, Missouri",Zea mays,,1.327,0.963,0.363,0.271,0.372,0.107,13.1,0.856,64.54,0.084,753.3,11.1,1.6,18,0.09,21,4.5,15.3,86,56.7,0.4,258.3,688.7
Landrace,PI 221888,"USA, Missouri",Zea mays,,1.487,1.032,0.455,0.292,0.421,0.08,9.71,0.952,64,0.099,786,11.4,5.6,34.3,0.16,25.3,5,21.7,82.5,74.3,0.5,206.3,705
Landrace,PI 222609,"USA, Kansas",Zea mays,,0.556,0.422,0.134,0.236,0.31,0.004,1.16,0.418,75.1,0.029,385.7,8,7.7,23.1,0.33,27,4,24,91.5,67,0.5,175,429
Landrace,PI 234767,"Spain, Canary Islands",Zea mays,,1.192,0.909,0.283,0.238,0.312,0.159,17.22,0.751,62.95,0.067,661,11,5.1,27.7,0.18,25,5.5,24.5,90.3,57.5,0.8,96.5,198.5
Landrace,PI 235282,"Bolivia, Santa Cruz",Zea mays,,0.916,0.691,0.225,0.247,0.327,0.012,1.73,0.679,74.11,0.053,680.8,10.2,1.1,9.9,0.11,18,2,18,75.3,50,0.6,117.5,300
Landrace,PI 240318,Bolivia,Zea mays,,0.675,0.462,0.212,0.295,0.423,0.053,7.29,0.409,60.69,0.057,396.1,8.2,1.4,14,0.1,14.7,4,12,57.5,39.3,0.5,129.3,271.7
Landrace,PI 275835,"USA, Pennsylvania",Zea mays,,1.151,0.836,0.315,0.262,0.359,0.108,14.9,0.727,63.19,0.068,577.2,10.2,5.4,24.8,0.22,22,3.3,19.7,76.8,84.3,0.7,128,284.7
Landrace,PI 311229,"USA, Arizona",Zea mays,,1.475,1.007,0.468,0.318,0.469,0.101,10.62,0.906,61.45,0.127,599.8,9.5,1.7,15.6,0.11,19.3,,14.7,74.7,73,0.6,142,294.7
Landrace,PI 360877,"USA, North Carolina",Zea mays,,1.512,1.15,0.363,0.235,0.308,0.043,4.62,1.107,73.2,0.071,956.3,12.1,11.7,43.1,0.27,25,3.7,24.3,92.3,66.7,0.5,222,782
Landrace,PI 390842,Peru,Zea mays,,1.381,1.065,0.316,0.229,0.297,0.009,0.86,1.056,76.45,0.073,735,11.3,2.1,19.2,0.11,24,4,,73,63,0.6,96,186
Landrace,PI 401754,"USA, New York",Zea mays,,0.695,0.458,0.236,0.336,0.508,0.056,13.04,0.402,57.95,0.054,407,7.8,2.3,23.1,0.1,15,3,22,80,50.5,0.5,178.5,452.5
Landrace,PI 401755,"USA, South Dakota",Zea mays,,0.657,0.479,0.178,0.274,0.378,0.017,2.53,0.462,70.39,0.046,532.2,9.3,1.5,17.8,0.08,18.3,2.3,16.7,68.5,44,0.5,133.3,323
Landrace,PI 401757,"USA, Illinois",Zea mays,,0.958,0.715,0.243,0.253,0.339,0.073,10.51,0.642,67.04,0.05,612.3,9.8,0.6,14.6,0.04,14.5,5,14,59.8,37.5,0.5,102.5,223
Landrace,PI 438943,"Mexico, Chiapas",Zea mays,,0.774,0.55,0.224,0.278,0.391,0.024,4.38,0.526,67.96,0.064,500.6,9.2,3.9,22.6,0.17,24.7,4.7,26,96.7,69.3,0.6,93.7,187.3
Landrace,PI 443781,"Colombia, Antioguia",Zea mays,,0.87,0.602,0.267,0.308,0.447,0.087,13.13,0.515,59.25,0.059,467,8.7,2.5,21.1,0.12,23.3,4.7,19,90.7,51,0.5,182,389.3
Landrace,PI 443963,"Colombia, Antioquia",Zea mays,,0.578,0.407,0.171,0.296,0.424,0.007,1.62,0.4,69.21,0.035,392,7.9,1.5,18.4,0.08,23.3,4,22.3,94.5,61.7,0.6,115.7,247
Landrace,PI 444005,"Colombia, Atlantico",Zea mays,,1.337,0.899,0.438,0.329,0.493,0.11,12.8,0.788,58.96,0.093,610.9,10.1,6.8,36.7,0.19,27.3,3.3,19.7,101.7,73.3,0.5,360.7,1288
Landrace,PI 444095,"Colombia, Boyaca",Zea mays,,0.915,0.659,0.256,0.257,0.35,0.06,10.19,0.599,65.45,0.046,386.2,8.3,1.7,14.8,0.11,19.5,3.5,18.5,74,52,0.5,118,255.5
Landrace,PI 444125,"Colombia, Boyaca",Zea mays,,0.808,0.62,0.188,0.236,0.31,0.071,10.26,0.549,67.99,0.038,459.3,9.7,2.4,21.8,0.11,22,3,19.5,84.5,70.5,0.4,262,703
Landrace,PI 444165,"Colombia, Boyaca",Zea mays,,0.999,0.754,0.245,0.249,0.333,0.083,11.88,0.671,67.19,0.045,620.7,10.4,3.7,25.1,0.15,23.7,2.7,21.7,81.7,65.3,0.4,276.7,748
Landrace,PI 444173,"Colombia, Boyaca",Zea mays,,0.92,0.674,0.246,0.245,0.329,0.035,8.15,0.639,69.43,0.045,514.3,9.4,1.4,15.4,0.09,20,4.7,18.3,93,54,0.7,148.3,400.7
Landrace,PI 444266,Colombia Caldas,Zea mays,,1.228,0.897,0.332,0.271,0.372,0.101,10.62,0.796,64.8,0.062,629,10.6,5.6,27.3,0.21,28,5.3,23.7,109,68,0.7,155.3,463
Landrace,PI 444408,"Colombia, Cauca",Zea mays,,0.849,0.64,0.209,0.242,0.323,0.012,1.95,0.628,73.96,0.034,626.7,10.2,4.3,22.3,0.19,24.5,5,24,104.8,56.5,0.6,159.5,368.5
Landrace,PI 444498,"Colombia, Cundinamarca",Zea mays,,1.407,1.04,0.367,0.261,0.359,0.192,17.63,0.848,60.28,0.087,613.1,10.6,4.8,26.7,0.18,27.3,4.7,22.7,89.8,74,0.7,254.7,857.3
Landrace,PI 444499,"Colombia, Cundinamarca",Zea mays,,1.078,0.781,0.297,0.269,0.372,0.131,14.1,0.65,60.3,0.068,663.4,10.9,3.4,17.3,0.2,24.7,4,21.7,92.2,50.3,0.6,138,357.3
Landrace,PI 444642,"Colombia, Cundinamarca",Zea mays,,1.008,0.685,0.323,0.32,0.473,0,0,0.685,67.95,0.063,403,8,9.7,34.2,0.28,37,2,28,94,55,0.6,111,300
Landrace,PI 444897,"Colombia, Magdalena",Zea mays,,0.986,0.667,0.319,0.324,0.479,0.002,0.28,0.665,67.43,0.061,710.5,10,0.7,10.8,0.06,19,,,80,40,0.5,201,773
Landrace,PI 444954,"Colombia, Magdalena",Zea mays,,0.946,0.679,0.267,0.28,0.39,0.095,14.67,0.584,61.77,0.06,500.1,9,4.8,23.8,0.2,21.7,5.3,20,98.3,83,0.5,121,261
Landrace,PI 445067,"Colombia, Narino",Zea mays,,0.914,0.677,0.237,0.251,0.337,0.06,7.78,0.617,67.5,0.046,550.2,9.5,4.6,28.1,0.16,27,5,25.5,99.3,54.5,0.6,128,382
Landrace,PI 445082,"Colombia, Narino",Zea mays,,0.896,0.659,0.237,0.255,0.345,0.052,8.17,0.608,67.82,0.051,531.8,9.5,8.7,23.5,0.37,23.3,4.3,26.7,93.7,70,0.5,293.3,910
Landrace,PI 445251,"Colombia, Narino",Zea mays,,0.459,0.359,0.1,0.217,0.278,0.003,0.76,0.356,77.69,0.023,272.7,8.5,3.8,20.7,0.18,24,4.5,20.5,93.5,56,0.7,139,316
Landrace,PI 445298,"Colombia , Putumayo",Zea mays,,0.836,0.643,0.193,0.232,0.304,0.015,2.45,0.628,75.13,0.034,645.7,10.8,3.7,21,0.18,25.5,3.5,25.5,83.8,69,0.6,123,306.5
Landrace,PI 445355,"Colombia, Norte de Santander",Zea mays,,1.048,0.752,0.296,0.278,0.388,0.105,14.55,0.646,61.68,0.059,502.3,8.7,3.4,26,0.13,28.5,4,24,88,62,0.5,139,326.5
Landrace,PI 467154,"Chile,Valparaiso",Zea mays,,0.883,0.613,0.27,0.306,0.443,0.041,5.23,0.572,64.81,0.064,554,9.3,1.2,17.6,0.07,20,1.3,14,78.8,56.3,0.5,121.7,302.7
Landrace,PI 467167,"Chile,Valparaiso",Zea mays,,0.899,0.656,0.243,0.275,0.38,0.146,21.51,0.51,56.72,0.05,543,8.8,2,14.2,0.14,20.5,2,13.5,77,63,0.5,117,281
Landrace,PI 467168,"Chile,Valparaiso",Zea mays,,0.908,0.656,0.252,0.278,0.388,0.016,2.37,0.64,70.54,0.06,613.8,10.2,6.6,23.9,0.28,23,4,21,83.3,64.3,0.5,147,338
Landrace,PI 467171,"Chile,Valparaiso",Zea mays,,1.015,0.713,0.302,0.29,0.41,0.061,15.62,0.651,64.17,0.059,697.2,9.7,6.2,16.2,0.38,19,4.5,18.5,83.5,52.5,0.4,118.5,318
Landrace,PI 467177,"Chile,Valparaiso",Zea mays,,1.126,0.8,0.326,0.288,0.405,0.017,2.25,0.783,69.56,0.08,783.5,11,4.3,24.5,0.18,23.7,3.7,19.7,91.3,68,0.5,314,975
Landrace,PI 467216,"Chile, Maule",Zea mays,,1.109,0.813,0.296,0.265,0.362,0.053,6.79,0.76,68.53,0.061,668.4,10.7,2.7,25.1,0.11,20,2.7,17.7,86,54.7,0.5,173,362
Landrace,PI 467225,"Chile, Maule",Zea mays,,1.426,1.041,0.385,0.27,0.37,0.134,11.1,0.907,63.59,0.076,896.8,12,3.5,21.2,0.17,21,2.5,18,99,44.5,0.4,205.5,468
Landrace,PI 467230,"Chile, Maule",Zea mays,,0.888,0.636,0.252,0.286,0.402,0,0,0.636,71.65,0.05,669.7,10,2.2,24.8,0.09,18.7,4,21,76.5,49.7,0.4,183.7,521
Landrace,PI 467262,"Chile, bio-bio",Zea mays,,0.888,0.643,0.245,0.278,0.389,0.025,3.67,0.619,69.66,0.047,636.6,9.9,3.2,29.2,0.11,23.7,4,26.5,86,44.7,0.4,255.3,752
Landrace,PI 467280,"Chile, bio-bio",Zea mays,,0.944,0.663,0.28,0.296,0.422,0.012,1.88,0.651,68.99,0.06,507.9,9.1,4.9,32.9,0.15,19.7,2.7,20.3,86.5,57.3,0.4,183.7,443.3
Landrace,PI 471823,Costa Rica,Zea mays,,1.196,0.831,0.365,0.303,0.44,0.018,2.21,0.813,67.95,0.072,615.4,10.3,3.7,24.7,0.15,19,4.7,21.3,86.5,60,0.5,175,471
Landrace,PI 471857,Costa Rica,Zea mays,,0.746,0.557,0.19,0.253,0.34,0.021,3.71,0.535,71.73,0.032,486.8,9.2,5.2,27.8,0.19,24.3,4.7,23,89.8,66,0.4,144,304.7
Landrace,PI 471893,Bolivia,Zea mays,,0.941,0.69,0.251,0.268,0.367,0.026,3.51,0.665,70.67,0.051,626.2,10.1,4.5,33.9,0.13,29,3.7,21.7,101.8,56.3,0.4,359,1104.7
Landrace,PI 474205,"Mexico, Sonora",Zea mays,,1.194,0.854,0.341,0.288,0.414,0.044,4.28,0.809,67.76,0.082,748.2,11.2,15.8,44.1,0.36,22.7,2.3,31,99.2,105.3,0.4,263.3,783.7
Landrace,PI 476869,"USA, Arizona",Zea mays,,1.013,0.712,0.301,0.298,0.424,0.094,13.25,0.617,60.95,0.066,561.7,9,1.4,14.3,0.1,20,,19,85,44,0.5,92,155
Landrace,PI 479123,Paraguay,Zea mays,,0.971,0.714,0.257,0.269,0.369,0.121,15.94,0.593,61.09,0.049,621.2,10.5,4.6,23.4,0.2,28.3,3.7,25.3,126.7,66.7,0.4,181.3,468.3
Landrace,PI 483312,"USA, South Carolina",Zea mays,,0.652,0.515,0.136,0.215,0.275,0.009,2.63,0.506,77.65,0.037,471.5,9.3,2,17.8,0.11,22.7,3,24,83.3,54,0.4,188.5,320
Landrace,PI 483878,Grenada,Zea mays,,1.134,0.843,0.29,0.249,0.334,0.109,13.15,0.734,64.74,0.062,550.4,9.8,5.5,28.5,0.19,25,3.7,21.3,87.7,64.7,0.4,176,456.5
Landrace,PI 483911,Jamaica,Zea mays,,1.104,0.812,0.292,0.262,0.356,0.08,8.58,0.732,66.29,0.062,736.7,11,7.3,31.4,0.23,25.3,3.7,22.3,93.8,88,0.6,162,472.7
Landrace,PI 484975,"Guatemala, Suchitepequez",Zea mays,,1.001,0.694,0.307,0.307,0.443,0.021,3.04,0.673,67.19,0.07,635,11.3,3.8,24.3,0.16,22,3,23,125,47,0.5,343,1090
Landrace,PI 485104,"Brazil, Sao Paulo",Zea mays,,1.228,0.904,0.324,0.265,0.362,0.137,14.43,0.767,62.46,0.07,582.2,10,5.4,30.2,0.18,23.7,3.7,20.3,94.8,53.3,0.5,255.3,690
