domestication,Accession,Origin,Species,Subspecies,RXSA,TCA,TSA,TSA.RXSA,TSA.TCA,AA,pct.A,CCA,pct.CCA,XVA,CC,CF,RDW,SDW,RDW.SDW,StemDia,Sem,Nod,NodLen,SysDia,AvgDia,Tips,Forks
Landrace,PI 584440,"Colombia, Caldas",Zea mays,,1.279,0.942,0.337,0.263,0.358,0.042,6.85,0.9,70.36,0.075,819.8,11.9,5.1,36.8,0.14,23.3,3.5,20.7,90.8,65,0.5,396,1261.3
Landrace,PI 586644,"Mexico, Tamaulipas",Zea mays,,1.112,0.809,0.303,0.273,0.376,0.154,16.17,0.655,58.91,0.073,562.7,9.3,3.2,22.4,0.14,22.5,4,18.5,99.5,45.5,0.5,189.5,561.5
Landrace,PI 586765,Virgin Islands (British),Zea mays,,0.712,0.538,0.174,0.236,0.315,0.137,24.93,0.401,56.26,0.038,327.3,8,4.1,24.2,0.17,21,3,22.5,79,72,0.4,117,152
Landrace,PI 586784,"Trinidad and Tobago, Tobago",Zea mays,,1.06,0.766,0.295,0.275,0.38,0.046,6.02,0.72,67.9,0.054,606.2,10.3,3.6,24.4,0.15,23,5.7,18.3,82.5,55,0.5,164,462.3
Landrace,PI 596543,"USA, Nebraska",Zea mays,,1.332,0.966,0.366,0.274,0.379,0.054,5.99,0.912,68.49,0.065,875.8,12.2,7.4,33.2,0.22,22.5,3.7,27,89,80,0.5,208,637
Landrace,PI 608619,"USA, Colorado",Zea mays,,0.95,0.69,0.259,0.272,0.375,0.053,8.13,0.637,67.1,0.072,561,10,3.3,21.7,0.15,20.7,2.7,18.7,76.7,59,0.4,227.7,630.3
Landrace,PI 620780,"Mexico, Chihuahua",Zea mays,,0.958,0.699,0.259,0.272,0.374,0.09,11.49,0.609,63.54,0.056,494.2,8.8,1.4,15.7,0.09,19,6,15.5,68.8,58,0.5,143.5,344.5
Landrace,PI 620796,"Mexico, Guanajuato",Zea mays,,0.871,0.623,0.249,0.289,0.407,0.015,2.2,0.608,69.74,0.071,611.3,10.3,2.6,17.3,0.15,20.7,2.3,19,83.3,57.7,0.5,210.7,499
Landrace,PI 620801,"Mexico, Guerrero",Zea mays,,1.093,0.779,0.314,0.285,0.399,0.013,1.55,0.767,70.13,0.058,811.1,11.2,4.9,27.3,0.18,25,5,29.3,83.2,72.7,0.5,157.5,373.5
Landrace,PI 620804,"Mexico, Guerrero",Zea mays,,0.921,0.633,0.288,0.31,0.45,0.004,0.74,0.629,68.26,0.065,629.6,9.9,7.4,30.5,0.24,26.3,4,25,92.8,68.7,0.4,249,581.3
Landrace,PI 620829,"Mexico, Mexico",Zea mays,,1.966,1.441,0.525,0.268,0.366,0.079,5.39,1.363,69.29,0.117,883,13.3,2,14.5,0.14,23,6,10,104,75,0.4,161,538
Landrace,PI 620839,"Mexico, Nayarit",Zea mays,,0.695,0.506,0.188,0.269,0.37,0.019,4.06,0.487,70.11,0.046,564.2,9.4,2.7,15.5,0.17,25.5,2.5,21.5,86.3,63.5,0.4,124.5,441.5
Landrace,PI 620843,"Mexico, Oaxaca",Zea mays,,0.976,0.709,0.266,0.273,0.376,0.044,6.7,0.665,68.14,0.049,719.5,11,3.1,20.2,0.15,25.7,6,22,94.8,69.3,0.5,200,563.7
Landrace,PI 620849,"Mexico, Puebla",Zea mays,,1.139,0.767,0.372,0.32,0.478,0.059,8.24,0.708,62.16,0.099,711.3,10.7,5.3,20.2,0.26,26.5,4,21,99,83,0.6,175,367.5
Landrace,PI 620857,"Mexico, Sinaloa",Zea mays,,0.902,0.659,0.243,0.266,0.363,0.058,7.45,0.601,66.59,0.055,612,10.2,9.3,43.1,0.22,21.5,4.5,25,99,113,0.5,300.5,895.5
Landrace,PI 620858,"Mexico, Sinaloa",Zea mays,,0.959,0.682,0.277,0.29,0.409,0.013,2.09,0.669,69.72,0.069,792.4,10.8,14.6,45.9,0.32,26.3,4,25.3,104.2,83,0.5,212,529.3
Landrace,PI 628446,"Mexico, Jalisco",Zea mays,,0.9,0.664,0.236,0.265,0.361,0.008,1.16,0.656,72.89,0.061,586.1,9.9,3.1,28.6,0.11,25,5.3,25.7,99.2,67,0.6,166,399.7
Landrace,PI 628460,"Mexico, Nayarit",Zea mays,,0.782,0.591,0.191,0.248,0.339,0.014,2.98,0.577,73.75,0.043,593.4,9.8,4.9,29.1,0.17,24.7,3.3,23,85.5,65,0.7,239,630
Landrace,PI 628480,"Mexico, Puebla",Zea mays,,1.576,1.131,0.446,0.282,0.394,0.131,11.51,1,63.45,0.09,729.2,10.8,3.6,16.8,0.21,19.5,5,19,96,77.5,0.5,204.7,504.7
Landrace,PI 629130,"Mexico, Chiapas",Zea mays,,0.96,0.68,0.28,0.283,0.395,0.029,3.32,0.651,67.79,0.069,620.6,9.8,3.7,25.4,0.15,23.3,6.5,18.3,83.3,42.7,0.5,184.3,561.7
Landrace,PI 629147,"Mexico, Coahuila",Zea mays,,0.973,0.68,0.293,0.301,0.432,0.071,8.57,0.609,62.54,0.069,545,9.2,2.9,20.4,0.14,20.7,3.7,20.3,97.7,50.3,0.5,153,365
Landrace,PI 629157,"Mexico, Durango",Zea mays,,0.884,0.668,0.216,0.244,0.323,0.068,10.88,0.6,67.89,0.052,584.2,10,4,23.3,0.17,25,3,23.7,102.7,68,0.5,203.7,632
Landrace,PI 629191,"Mexico, Jalisco",Zea mays,,0.806,0.574,0.232,0.271,0.375,0.065,9.65,0.509,63.1,0.045,503.7,9,5.8,28.2,0.21,24,3,25.5,97.8,87.5,0.5,223,531.5
Landrace,PI 629202,"Mexico, Jalisco",Zea mays,,1.345,0.921,0.423,0.315,0.459,0.099,10.74,0.822,61.16,0.098,968.7,12.7,4.4,28.7,0.15,25,3,28,93,90,0.4,296,703
Landrace,PI 629245,"Mexico, Puebla",Zea mays,,0.95,0.65,0.301,0.313,0.458,0.031,4.75,0.619,65.1,0.066,655.8,10,2.5,22.6,0.11,20.5,7.5,24,89,70,0.4,224.5,726
Landrace,PI 629246,"Mexico, Puebla",Zea mays,,0.868,0.604,0.264,0.292,0.417,0.014,2.31,0.59,67.9,0.066,525.7,9.3,2.4,17.8,0.13,20.7,5.7,15,99.2,65,0.7,157.7,362.3
Landrace,PI 629255,"Mexico, Sinaloa",Zea mays,,1.136,0.833,0.303,0.268,0.368,0.032,3.45,0.8,70.48,0.077,621.6,10,4.1,27.8,0.15,20.3,4,21.3,92.3,68,0.4,212.3,563.7
Landrace,PI 629262,"Mexico, Zacatecas",Zea mays,,0.897,0.629,0.268,0.295,0.426,0.016,2.33,0.614,68.43,0.053,539.4,9.1,3.6,27.3,0.13,22.3,5.3,24,91.3,71.7,0.4,235.3,654
Landrace,PI 629263,"Mexico, Zacatecas",Zea mays,,0.622,0.421,0.201,0.322,0.48,0.011,2.72,0.409,65.81,0.041,404,7.7,0.7,13.6,0.05,15.5,4.5,8.5,77.8,34,0.6,176.5,394
