Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP486,O. sativa,China,27.92,109.43,0.49,indica
HP487,O. sativa,China,28.02,110.18,1.03,indica
HP488,O. sativa,China,27.73,111.29,0.89,indica
HP489,O. sativa,China,26.44,110.84,1.02,indica
HP490,O. sativa,China,26.44,110.84,0.92,indica
HP491,O. sativa,China,25.59,110.14,0.55,indica
HP492,O. sativa,China,25.79,113,0.72,indica
HP493,O. sativa,China,25.08,113.91,0.6,indica
HP494,O. sativa,China,25.08,113.91,0.87,indica
HP495,O. sativa,China,25.08,113.91,1.26,indica
HP496,O. sativa,China,25.79,113,1.11,indica
HP497,O. sativa,China,25.95,113.39,0.74,indica
HP498,O. sativa,China,26.22,111.63,1.34,indica
HP499,O. sativa,China,24.97,111.79,0.97,indica
HP500,O. sativa,China,28.12,112.59,1.76,indica
HP501,O. sativa,China,26.49,113.77,0.77,indica
HP502,O. sativa,China,26.49,113.77,0.55,indica
HP503,O. sativa,China,26.41,117.77,0.94,indica
HP504,O. sativa,China,28.6,112.33,0.88,indica
HP505,O. sativa,China,25.04,102.42,1.12,indica
HP506,O. sativa,China,29.05,111.69,1.13,indica
HP507,O. sativa,China,29.41,111.09,0.52,indica
HP508,O. sativa,China,30.57,104.94,0.92,indica
HP509,O. sativa,China,26.49,113.77,0.78,indica
HP510,O. sativa,China,30.82,104.13,0.9,indica
HP511,O. sativa,China,30.82,104.13,0.91,temperate japonica
HP512,O. sativa,China,27.92,102.29,0.83,temperate japonica
HP513,O. sativa,China,27.92,102.29,0.83,indica
HP514,O. sativa,China,29.24,104.97,0.56,indica
HP515,O. sativa,China,28.71,105.06,1.03,indica
HP516,O. sativa,China,29.75,105.71,0.67,indica
HP517,O. sativa,China,29.7,107.36,0.7,indica
HP518,O. sativa,China,27.4,102.15,0.76,indica
HP519,O. sativa,China,26.74,102.55,1.25,intermedia
HP520,O. sativa,China,25.07,118.18,1.11,indica
HP521,O. sativa,China,25.07,118.18,0.73,indica
HP522,O. sativa,China,24.51,117.35,0.88,indica
HP523,O. sativa,China,24.51,117.35,0.84,indica
HP524,O. sativa,China,25.12,117.01,0.69,indica
HP525,O. sativa,China,24.68,113.58,0.85,temperate japonica
HP526,O. sativa,China,23.08,113.14,1.05,indica
HP527,O. sativa,China,19.05,109.83,1.01,indica
HP528,O. sativa,China,23.17,102.81,1.3,indica
HP529,O. sativa,China,21.95,100.5,1.43,indica
HP530,O. sativa,China,24.82,99.61,1.44,indica
HP531,O. sativa,China,27.08,107.48,0.67,indica
HP532,O. sativa,China,26.14,106.66,0.84,temperate japonica
HP533,O. sativa,China,25.83,107.55,0.54,indica
HP534,O. sativa,China,30.99,103.94,0.88,indica
HP535,O. sativa,China,30.8,103.86,1.43,indica
HP536,O. sativa,China,30.63,103.69,0.92,indica
HP537,O. sativa,China,30.4,104.04,0.66,indica
HP538,O. sativa,China,29,109.84,0.86,indica
HP539,O. sativa,China,27.37,109.16,1.4,indica
HP540,O. sativa,China,25.08,113.91,1.04,indica
HP541,O. sativa,China,25.08,113.91,0.93,indica
HP542,O. sativa,China,25.08,113.91,0.51,indica
HP543,O. sativa,China,28.6,112.33,0.78,indica
HP544,O. sativa,China,29.05,111.69,1.06,indica
HP545,O. sativa,China,26.58,107.22,0.82,indica
HP546,O. sativa,China,25.44,105.18,1.23,indica
HP547,O. sativa,China,23.38,110.07,0.63,indica
HP548,O. sativa,China,29.93,117.92,1.06,indica
HP549,O. sativa,China,27.08,107.48,0.74,indica
HP550,O. sativa,China,27.21,108.72,0.83,indica
HP551,O. sativa,China,26.57,106.71,0.96,indica
HP552,O. sativa,China,27.7,106.9,1.02,indica
HP553,O. sativa,China,25.44,105.18,1.28,indica
HP554,O. sativa,China,25.11,105.49,0.91,temperate japonica
HP555,O. sativa,China,26.46,116,0.94,indica
HP556,O. sativa,China,27.12,114.97,1.1,indica
HP557,O. sativa,China,30.67,104.06,1.16,indica
HP558,O. sativa,China,30.67,104.06,1.14,indica
HP559,O. sativa,China,30.67,104.06,0.81,indica
HP560,O. sativa,China,24.91,114.79,1.06,indica
HP561,O. sativa,China,26.33,114.5,1.03,indica
HP562,O. sativa,China,26.33,114.5,0.92,indica
HP563,O. sativa,China,28.4,115.55,1.1,indica
HP564,O. sativa,China,30.35,114.17,1.1,temperate japonica
HP565,O. sativa,China,30.35,114.17,1.14,indica
HP566,O. sativa,China,33.93,106.51,1.11,indica
HP567,O. sativa,China,30.35,114.17,1.33,indica
HP568,O. sativa,China,30.35,114.17,0.58,temperate japonica
HP569,O. sativa,China,25.01,107.16,0.55,indica
HP570,O. sativa,China,30.4,104.04,0.89,indica
HP571,O. sativa,China,27.92,102.29,0.99,indica
HP572,O. sativa,China,29.92,102.25,0.8,indica
HP573,O. sativa,China,31.52,117.17,1.42,indica
HP574,O. sativa,China,27.06,106.95,1.2,temperate japonica
HP575,O. sativa,China,26.41,117.77,0.82,indica
HP576,O. sativa,China,26.25,105.92,0.88,indica
HP577,O. sativa,China,26.42,106.26,0.74,indica
HP578,O. sativa,China,26.42,106.26,0.58,indica
HP579,O. sativa,China,25.94,105.62,1.19,indica
HP580,O. sativa,China,25.94,105.62,0.68,indica
HP581,O. sativa,China,26.84,106.59,1.09,indica
HP582,O. sativa,China,27.73,109.21,1.04,indica
HP583,O. sativa,China,26.59,107.97,0.68,indica
HP584,O. sativa,China,26.49,107.58,0.96,indica
HP585,O. sativa,China,27.73,109.21,1.22,temperate japonica
HP586,O. sativa,China,26,107.86,0.73,temperate japonica
HP587,O. sativa,China,26.03,106.45,1.18,temperate japonica
HP588,O. sativa,China,26.49,107.58,1.05,temperate japonica
HP589,O. sativa,China,27.03,108.11,0.7,indica
HP590,O. sativa,China,26.89,109.2,0.99,indica
HP591,O. sativa,China,26.57,106.71,1.11,indica
HP592,O. sativa,China,25.1,104.91,1.11,indica
HP593,O. sativa,China,25.11,105.49,1.14,indica
HP594,O. sativa,China,26.35,106.42,0.76,intermedia
HP595,O. sativa,China,26.08,105.75,1.02,indica
HP596,O. sativa,China,26.08,105.75,1.12,temperate japonica
HP597,O. sativa,China,24.44,100.12,1.12,indica
HP598,O. sativa,China,27.21,108.72,0.61,indica
HP599,O. sativa,China,26.24,109.14,1.27,temperate japonica
HP600,O. sativa,China,33.25,112.98,1.36,indica
HP601,O. sativa,China,33.05,111.83,0.95,indica
HP602,O. sativa,China,30.4,104.04,0.89,temperate japonica
HP603,O. sativa,China,26,107.86,1.41,indica
HP604,O. sativa,China,22.68,103.67,1.08,indica
HP605,O. sativa,China,22.58,101.88,1.2,temperate japonica
HP606,O. sativa,China,26.66,105.76,1.47,indica
HP607,O. sativa,China,21.95,100.5,1.35,indica
HP608,O. sativa,China,24.69,97.93,1.18,indica
HP609,O. sativa,China,19.05,109.83,1.59,indica
HP610,O. sativa,China,18.48,110.02,1.18,indica
HP611,O. sativa,China,18.48,110.02,0.93,indica
HP612,O. sativa,China,19.25,110.46,1.71,indica
HP613,O. sativa,China,19.36,110.1,1.11,indica
HP614,O. sativa,China,19.52,109.57,1.04,intermedia
HP990,O. sativa,China,NA,NA,0.77,temperate japonica
HP991,O. sativa,China,NA,NA,0.7,indica
HP992,O. sativa,China,NA,NA,0.43,temperate japonica
HP993,O. sativa,China,NA,NA,1.75,indica
HP994,O. sativa,China,NA,NA,0.58,indica
HP995,O. sativa,China,NA,NA,0.58,temperate japonica
HP996,O. sativa,Japan,NA,NA,1.07,temperate japonica
HP997,O. sativa,Japan,NA,NA,0.62,temperate japonica
HP998,O. sativa,China,NA,NA,1.75,indica
HP999,O. sativa,China,NA,NA,1.02,indica
GP1,O. sativa,Bengal,NA,NA,0.69,intermedia
GP2,O. sativa,Bengal,NA,NA,0.73,intermedia
GP3,O. sativa,Brazil,NA,NA,0.57,indica
GP4,O. sativa,Philippine,NA,NA,0.95,indica
GP5,O. sativa,Madagascar,NA,NA,0.91,tropical japonica
GP6,O. sativa,Thailand,NA,NA,0.17,indica
GP7,O. sativa,Ivory Coast,NA,NA,0.76,tropical japonica
GP8,O. sativa,Bengal,NA,NA,1.49,aus
GP9,O. sativa,Philippine,NA,NA,0.6,indica
GP10,O. sativa,Philippine,NA,NA,0.42,indica
GP11,O. sativa,Philippine,NA,NA,0.82,indica
GP12,O. sativa,IRRI,NA,NA,0.68,indica
GP13,O. sativa,Philippine,NA,NA,1.03,indica
GP14,O. sativa,IRRI,NA,NA,1.75,indica
GP15,O. sativa,IRRI,NA,NA,0.42,indica
GP16,O. sativa,IRRI,NA,NA,0.85,indica
GP17,O. sativa,IRRI,NA,NA,1.74,indica
GP18,O. sativa,IRRI,NA,NA,1.21,indica
GP19,O. sativa,IRRI,NA,NA,0.39,indica
GP20,O. sativa,IRRI,NA,NA,0.7,indica
GP21,O. sativa,IRRI,NA,NA,1,indica
GP22,O. sativa,IRRI,NA,NA,0.8,indica
GP23,O. sativa,IRRI,NA,NA,1.05,indica
GP24,O. sativa,IRRI,NA,NA,1,indica
GP25,O. sativa,IRRI,NA,NA,1.07,indica
GP26,O. sativa,IRRI,NA,NA,0.77,intermedia
GP27,O. sativa,IRRI,NA,NA,0.71,indica
GP28,O. sativa,IRRI,NA,NA,1.15,indica
GP29,O. sativa,IRRI,NA,NA,0.44,indica
GP30,O. sativa,IRRI,NA,NA,0.87,indica
GP31,O. sativa,IRRI,NA,NA,1.14,indica
GP32,O. sativa,Philippine,NA,NA,0.51,indica
GP33,O. sativa,Philippine,NA,NA,1.07,indica
GP34,O. sativa,India,NA,NA,1.26,aus
GP35,O. sativa,Philippine,NA,NA,0.66,indica
GP36,O. sativa,Bengal,NA,NA,0.66,aus
GP37,O. sativa,Philippine,NA,NA,1.2,indica
GP38,O. sativa,India,NA,NA,0.61,aus
GP39,O. sativa,Brazil,NA,NA,0.9,tropical japonica
GP40,O. sativa,Sri Lanka,NA,NA,0.67,indica
GP41,O. sativa,Vietnam,NA,NA,0.79,indica
GP42,O. sativa,Malaysia,NA,NA,0.71,indica
GP43,O. sativa,India,NA,NA,0.61,indica
GP44,O. sativa,India,NA,NA,1.12,intermedia
GP45,O. sativa,India,NA,NA,0.39,indica
GP46,O. sativa,India,NA,NA,0.66,indica
GP47,O. sativa,India,NA,NA,0.72,aus
GP48,O. sativa,Cuba,NA,NA,0.74,indica
GP49,O. sativa,Cuba,NA,NA,0.51,indica
GP50,O. sativa,Cuba,NA,NA,0.71,indica
GP51,O. sativa,Cuba,NA,NA,0.9,indica
GP52,O. sativa,Cuba,NA,NA,0.9,indica
GP53,O. sativa,Cuba,NA,NA,0.3,indica
GP54,O. sativa,Cuba,NA,NA,0.8,indica
GP55,O. sativa,Ivory Coast,NA,NA,0.67,tropical japonica
GP56,O. sativa,Uganda,NA,NA,0.67,intermedia
GP57,O. sativa,Madagascar,NA,NA,0.36,aus
GP58,O. sativa,India,NA,NA,0.58,indica
GP59,O. sativa,Philippine,NA,NA,0.58,temperate japonica
GP60,O. sativa,India,NA,NA,0.75,indica
GP61,O. sativa,India,NA,NA,0.73,aus
GP62,O. sativa,India,NA,NA,0.59,aus
GP63,O. sativa,India,NA,NA,0.61,aus
GP64,O. sativa,Burma,NA,NA,0.58,indica
GP65,O. sativa,IRRI,NA,NA,0.53,indica
GP66,O. sativa,Vietnam,NA,NA,0.3,indica
GP67,O. sativa,India,NA,NA,0.48,aus
GP68,O. sativa,IRRI,NA,NA,0.96,indica
GP69,O. sativa,IRRI,NA,NA,0.77,indica
GP70,O. sativa,IRRI,NA,NA,0.57,indica
GP71,O. sativa,IRRI,NA,NA,0.67,indica
GP72,O. sativa,IRRI,NA,NA,0.6,indica
GP73,O. sativa,IRRI,NA,NA,0.86,indica
GP74,O. sativa,IRRI,NA,NA,0.94,intermedia
GP75,O. sativa,Philippine,NA,NA,0.59,aus
GP76,O. sativa,Madagascar,NA,NA,0.9,indica
GP77,O. sativa,IRRI,NA,NA,0.87,tropical japonica
GP78,O. sativa,IRRI,NA,NA,0.7,indica
GP79,O. sativa,IRRI,NA,NA,0.78,indica
GP80,O. sativa,IRRI,NA,NA,0.85,indica
GP81,O. sativa,IRRI,NA,NA,0.79,indica
GP82,O. sativa,IRRI,NA,NA,0.98,indica
GP83,O. sativa,India,NA,NA,0.29,indica
GP84,O. sativa,IRRI,NA,NA,0.59,indica
GP85,O. sativa,Thailand,NA,NA,0.64,indica
GP86,O. sativa,US,NA,NA,0.73,tropical japonica
GP87,O. sativa,India,NA,NA,0.56,indica
GP88,O. sativa,Egypt,NA,NA,0.56,temperate japonica
GP89,O. sativa,Bengal,NA,NA,0.69,aus
GP90,O. sativa,IRRI,NA,NA,0.75,indica
GP91,O. sativa,IRRI,NA,NA,0.61,indica
GP92,O. sativa,IRRI,NA,NA,0.71,indica
GP93,O. sativa,IRRI,NA,NA,0.48,indica
GP94,O. sativa,IRRI,NA,NA,0.78,indica
GP95,O. sativa,IRRI,NA,NA,0.48,indica
GP96,O. sativa,IRRI,NA,NA,0.84,indica
GP97,O. sativa,IRRI,NA,NA,0.74,indica
GP98,O. sativa,IRRI,NA,NA,0.55,indica
GP99,O. sativa,IRRI,NA,NA,0.7,indica
GP100,O. sativa,IRRI,NA,NA,0.82,indica
GP101,O. sativa,IRRI,NA,NA,0.5,indica
GP102,O. sativa,IRRI,NA,NA,0.53,indica
GP103,O. sativa,Sri Lanka,NA,NA,0.4,indica
GP104,O. sativa,Bengal,NA,NA,0.34,aus
GP105,O. sativa,IRRI,NA,NA,0.35,indica
GP106,O. sativa,IRRI,NA,NA,0.73,indica
GP107,O. sativa,Uganda,NA,NA,0.63,indica
GP108,O. sativa,Philippine,NA,NA,1.03,indica
GP109,O. sativa,Madagascar,NA,NA,0.69,aus
GP110,O. sativa,Philippine,NA,NA,0.53,aus
GP111,O. sativa,IRRI,NA,NA,0.29,indica
GP112,O. sativa,Gambian,NA,NA,0.54,tropical japonica
GP113,O. sativa,IRRI,NA,NA,0.25,indica
GP114,O. sativa,Philippine,NA,NA,0.14,indica
GP115,O. sativa,US,NA,NA,0.23,indica
GP116,O. sativa,IRRI,NA,NA,0.91,indica
GP117,O. sativa,US,NA,NA,1.13,tropical japonica
GP118,O. sativa,Indonesia,NA,NA,1.35,indica
GP119,O. sativa,IRRI,NA,NA,2.04,indica
GP120,O. sativa,Philippine,NA,NA,1.05,indica
GP121,O. sativa,IRRI,NA,NA,0.57,indica
GP122,O. sativa,Sri Lanka,NA,NA,1.02,indica
GP123,O. sativa,IRRI,NA,NA,1.17,indica
GP124,O. sativa,Bengal,NA,NA,0.81,aus
GP125,O. sativa,Ivory Coast,NA,NA,0.44,indica
GP126,O. sativa,Uganda,NA,NA,0.36,temperate japonica
GP127,O. sativa,IRRI,NA,NA,0.63,indica
GP128,O. sativa,India,NA,NA,0.47,indica
GP129,O. sativa,IRRI,NA,NA,1.09,indica
GP130,O. sativa,IRRI,NA,NA,0.31,indica
GP131,O. sativa,Sri Lanka,NA,NA,0.52,indica
GP132,O. sativa,IRRI,NA,NA,0.77,indica
GP133,O. sativa,IRRI,NA,NA,0.03,indica
GP134,O. sativa,North Korea,NA,NA,0.85,indica
GP135,O. sativa,North Korea,NA,NA,1.07,indica
GP136,O. sativa,IRRI,NA,NA,0.57,indica
GP137,O. sativa,North Korea,NA,NA,0.42,indica
GP138,O. sativa,IRRI,NA,NA,2.19,indica
GP139,O. sativa,IRRI,NA,NA,0.57,indica
GP140,O. sativa,IRRI,NA,NA,1.08,indica
GP141,O. sativa,Nepal,NA,NA,0.19,intermedia
GP142,O. sativa,India,NA,NA,0.42,indica
GP143,O. sativa,Philippine,NA,NA,0.54,indica
GP144,O. sativa,North Korea,NA,NA,0.27,indica
GP260,O. sativa,India,NA,NA,2.11,indica
GP284,O. sativa,Pakistan,NA,NA,2.31,aromatic
GP285,O. sativa,Pakistan,NA,NA,1.98,aus
GP294,O. sativa,Pakistan,NA,NA,2.4,aromatic
GP295,O. sativa,Pakistan,NA,NA,0.7,aromatic
GP296,O. sativa,Pakistan,NA,NA,1.21,aromatic
GP297,O. sativa,Pakistan,NA,NA,1.73,aromatic
GP497,O. sativa,Japan,NA,NA,0.4,temperate japonica
GP498,O. sativa,Japan,NA,NA,0.71,temperate japonica
GP499,O. sativa,Japan,NA,NA,0.53,temperate japonica
GP500,O. sativa,Japan,NA,NA,0.63,temperate japonica
GP501,O. sativa,Japan,NA,NA,0.43,temperate japonica
GP502,O. sativa,Japan,NA,NA,0.51,temperate japonica
GP503,O. sativa,Italy,NA,NA,0.57,tropical japonica
GP504,O. sativa,Japan,NA,NA,0.52,temperate japonica
GP505,O. sativa,Japan,NA,NA,0.47,temperate japonica
GP506,O. sativa,Japan,NA,NA,0.51,temperate japonica
GP507,O. sativa,Japan,NA,NA,0.69,temperate japonica
GP508,O. sativa,Japan,NA,NA,0.41,temperate japonica
GP509,O. sativa,Japan,NA,NA,0.91,temperate japonica
GP510,O. sativa,Portugal,NA,NA,0.71,temperate japonica
GP511,O. sativa,Russia,NA,NA,0.43,temperate japonica
GP512,O. sativa,Bengal,NA,NA,0.71,aus
GP513,O. sativa,Philippine,NA,NA,0.2,tropical japonica
GP514,O. sativa,Philippine,NA,NA,0.57,tropical japonica
GP515,O. sativa,Philippine,NA,NA,0.75,tropical japonica
GP516,O. sativa,Philippine,NA,NA,0.74,tropical japonica
GP517,O. sativa,Philippine,NA,NA,0.57,tropical japonica
GP518,O. sativa,Philippine,NA,NA,0.49,tropical japonica
GP519,O. sativa,Laos,NA,NA,0.71,temperate japonica
GP520,O. sativa,Laos,NA,NA,0.65,temperate japonica
GP521,O. sativa,Indonesia,NA,NA,0.63,tropical japonica
GP522,O. sativa,Malaysia,NA,NA,0.59,tropical japonica
GP523,O. sativa,Solomon Islands,NA,NA,0.75,temperate japonica
GP524,O. sativa,Philippine,NA,NA,0.44,intermedia
GP525,O. sativa,Thailand,NA,NA,0.69,temperate japonica
GP526,O. sativa,Thailand,NA,NA,0.74,indica
GP527,O. sativa,Laos,NA,NA,0.31,temperate japonica
GP528,O. sativa,Laos,NA,NA,0.76,temperate japonica
GP529,O. sativa,Laos,NA,NA,0.5,temperate japonica
GP530,O. sativa,India,NA,NA,0.8,aus
GP531,O. sativa,Bengal,NA,NA,0.63,aus
GP532,O. sativa,Brazil,NA,NA,0.87,tropical japonica
GP533,O. sativa,Bengal,NA,NA,0.26,aus
GP534,O. sativa,Malaysia,NA,NA,0.64,tropical japonica
GP535,O. sativa,Philippine,NA,NA,0.69,tropical japonica
GP536,O. sativa,Philippine,NA,NA,0.7,tropical japonica
GP537,O. sativa,Philippine,NA,NA,0.59,tropical japonica
GP538,O. sativa,India,NA,NA,0.57,aus
GP539,O. sativa,India,NA,NA,0.8,aus
GP540,O. sativa,Pakistan,NA,NA,0.86,aus
GP541,O. sativa,Philippine,NA,NA,0.33,tropical japonica
GP542,O. sativa,Philippine,NA,NA,0.76,aus
GP543,O. sativa,US,NA,NA,0.61,intermedia
GP544,O. sativa,US,NA,NA,0.39,tropical japonica
GP545,O. sativa,Egypt,NA,NA,0.77,temperate japonica
GP546,O. sativa,Japan,NA,NA,1.15,temperate japonica
GP547,O. sativa,Japan,NA,NA,0.52,temperate japonica
GP548,O. sativa,Japan,NA,NA,0.9,temperate japonica
GP549,O. sativa,Japan,NA,NA,0.89,temperate japonica
GP550,O. sativa,Japan,NA,NA,0.43,temperate japonica
GP551,O. sativa,Japan,NA,NA,0.8,temperate japonica
GP552,O. sativa,Japan,NA,NA,0.82,temperate japonica
GP553,O. sativa,Japan,NA,NA,0.6,indica
GP554,O. sativa,Japan,NA,NA,0.55,temperate japonica
GP555,O. sativa,Japan,NA,NA,0.74,temperate japonica
GP556,O. sativa,Japan,NA,NA,0.37,temperate japonica
GP557,O. sativa,Japan,NA,NA,0.73,temperate japonica
GP558,O. sativa,Japan,NA,NA,0.5,temperate japonica
GP559,O. sativa,Japan,NA,NA,0.44,temperate japonica
GP560,O. sativa,North Korea,NA,NA,0.86,temperate japonica
GP561,O. sativa,Japan,NA,NA,1,temperate japonica
GP562,O. sativa,Albania,NA,NA,0.66,intermedia
GP563,O. sativa,Albania,NA,NA,1.34,temperate japonica
GP564,O. sativa,Russia,NA,NA,1.17,temperate japonica
GP565,O. sativa,France,NA,NA,0.62,temperate japonica
GP566,O. sativa,Argentina,NA,NA,0.83,temperate japonica
GP567,O. sativa,IRRI,NA,NA,0.43,temperate japonica
GP568,O. sativa,Italy,NA,NA,0.96,temperate japonica
GP569,O. sativa,Philippine,NA,NA,1.01,temperate japonica
GP570,O. sativa,Philippine,NA,NA,0.96,temperate japonica
GP571,O. sativa,Japan,NA,NA,0.7,temperate japonica
GP572,O. sativa,Ivory Coast,NA,NA,0.45,indica
GP573,O. sativa,Brazil,NA,NA,0.77,indica
GP574,O. sativa,Philippine,NA,NA,1.1,indica
GP575,O. sativa,Uganda,NA,NA,0.44,temperate japonica
GP576,O. sativa,Pakistan,NA,NA,0.83,aus
GP577,O. sativa,Brazil,NA,NA,0.22,intermedia
GP578,O. sativa,Philippine,NA,NA,0.98,tropical japonica
GP579,O. sativa,Philippine,NA,NA,0.94,temperate japonica
GP580,O. sativa,Laos,NA,NA,1.02,temperate japonica
GP581,O. sativa,Bulgaria,NA,NA,0.45,temperate japonica
GP582,O. sativa,Laos,NA,NA,0.57,temperate japonica
GP583,O. sativa,Thailand,NA,NA,0.97,temperate japonica
GP584,O. sativa,US,NA,NA,1.02,temperate japonica
GP585,O. sativa,North Korea,NA,NA,0.56,temperate japonica
GP587,O. sativa,Japan,NA,NA,0.82,indica
GP588,O. sativa,Italy,NA,NA,1.01,temperate japonica
GP589,O. sativa,Egypt,NA,NA,0.78,indica
GP590,O. sativa,India,NA,NA,0.66,temperate japonica
GP591,O. sativa,North Korea,NA,NA,0.92,temperate japonica
GP592,O. sativa,Japan,NA,NA,1.29,temperate japonica
GP593,O. sativa,North Korea,NA,NA,1.03,indica
GP594,O. sativa,Argentina,NA,NA,0.42,temperate japonica
GP595,O. sativa,Japan,NA,NA,1.15,temperate japonica
GP596,O. sativa,Japan,NA,NA,0.81,temperate japonica
GP597,O. sativa,South Korea,NA,NA,0.66,temperate japonica
GP598,O. sativa,South Korea,NA,NA,0.43,temperate japonica
GP599,O. sativa,South Korea,NA,NA,0.62,temperate japonica
GP601,O. sativa,North Korea,NA,NA,0.57,temperate japonica
GP602,O. sativa,North Korea,NA,NA,0.59,temperate japonica
GP603,O. sativa,South Korea,NA,NA,1.11,temperate japonica
GP605,O. sativa,South Korea,NA,NA,1.1,temperate japonica
GP606,O. sativa,South Korea,NA,NA,1,temperate japonica
GP607,O. sativa,Japan,NA,NA,1.31,temperate japonica
GP608,O. sativa,Japan,NA,NA,0.35,temperate japonica
GP609,O. sativa,Japan,NA,NA,0.57,temperate japonica
GP610,O. sativa,South Korea,NA,NA,0.23,temperate japonica
GP611,O. sativa,Australia,NA,NA,0.87,tropical japonica
GP612,O. sativa,US,NA,NA,1.03,temperate japonica
GP613,O. sativa,US,NA,NA,0.94,intermedia
GP614,O. sativa,US,NA,NA,0.44,temperate japonica
GP615,O. sativa,US,NA,NA,0.63,intermedia
GP616,O. sativa,US,NA,NA,0.91,intermedia
GP617,O. sativa,US,NA,NA,0.85,intermedia
GP619,O. sativa,Japan,NA,NA,0.65,temperate japonica
GP620,O. sativa,IRRI,NA,NA,1.77,temperate japonica
GP621,O. sativa,Japan,NA,NA,0.3,temperate japonica
GP622,O. sativa,IRRI,NA,NA,0.58,indica
GP623,O. sativa,Japan,NA,NA,0.3,temperate japonica
GP624,O. sativa,Hungary,NA,NA,0.95,indica
GP625,O. sativa,India,NA,NA,0.73,aus
GP626,O. sativa,Indonesia,NA,NA,0.67,tropical japonica
GP627,O. sativa,Indonesia,NA,NA,0.38,intermedia
GP628,O. sativa,Indonesia,NA,NA,0.46,indica
GP629,O. sativa,Indonesia,NA,NA,1.76,tropical japonica
GP630,O. sativa,Japan,NA,NA,0.93,temperate japonica
GP631,O. sativa,Japan,NA,NA,0.5,indica
GP632,O. sativa,Japan,NA,NA,0.52,temperate japonica
GP633,O. sativa,Philippine,NA,NA,0.16,indica
GP634,O. sativa,North Korea,NA,NA,0.58,temperate japonica
GP635,O. sativa,North Korea,NA,NA,0.38,intermedia
GP636,O. sativa,North Korea,NA,NA,1.08,temperate japonica
GP637,O. sativa,North Korea,NA,NA,0.9,intermedia
GP638,O. sativa,North Korea,NA,NA,0.65,temperate japonica
GP639,O. sativa,North Korea,NA,NA,0.25,indica
GP640,O. sativa,US,NA,NA,0.45,tropical japonica
GP641,O. sativa,US,NA,NA,0.48,tropical japonica
GP642,O. sativa,US,NA,NA,0.64,tropical japonica
GP643,O. sativa,Ivory Coast,NA,NA,0.53,tropical japonica
GP644,O. sativa,Ivory Coast,NA,NA,0.84,tropical japonica
GP645,O. sativa,Sri Lanka,NA,NA,0.51,intermedia
GP646,O. sativa,Thailand,NA,NA,1.24,temperate japonica
GP647,O. sativa,US,NA,NA,0.83,tropical japonica
GP648,O. sativa,Japan,NA,NA,0.57,temperate japonica
GP649,O. sativa,Japan,NA,NA,0.61,temperate japonica
GP650,O. sativa,Japan,NA,NA,1.03,temperate japonica
GP651,O. sativa,North Korea,NA,NA,1.21,temperate japonica
GP652,O. sativa,North Korea,NA,NA,1.05,indica
GP653,O. sativa,Japan,NA,NA,0.85,temperate japonica
GP654,O. sativa,Italy,NA,NA,1.48,temperate japonica
GP655,O. sativa,Japan,NA,NA,1.5,temperate japonica
GP656,O. sativa,Japan,NA,NA,0.86,temperate japonica
GP657,O. sativa,Vietnam,NA,NA,1.17,temperate japonica
GP658,O. sativa,Brazil,NA,NA,1.34,intermedia
GP659,O. sativa,Brazil,NA,NA,1.27,tropical japonica
GP660,O. sativa,Japan,NA,NA,0.98,temperate japonica
GP661,O. sativa,Italy,NA,NA,0.61,temperate japonica
GP662,O. sativa,Japan,NA,NA,1.25,temperate japonica
GP663,O. sativa,Japan,NA,NA,1.11,temperate japonica
GP664,O. sativa,Japan,NA,NA,1.26,temperate japonica
GP665,O. sativa,Japan,NA,NA,0.86,temperate japonica
GP666,O. sativa,Japan,NA,NA,0.61,temperate japonica
GP667,O. sativa,Japan,NA,NA,1.12,temperate japonica
GP668,O. sativa,Japan,NA,NA,0.9,temperate japonica
GP669,O. sativa,Japan,NA,NA,1.05,temperate japonica
GP670,O. sativa,Japan,NA,NA,1.39,temperate japonica
GP671,O. sativa,Japan,NA,NA,1.1,temperate japonica
GP672,O. sativa,Japan,NA,NA,1.09,temperate japonica
GP673,O. sativa,Japan,NA,NA,1.05,temperate japonica
GP674,O. sativa,Japan,NA,NA,1.05,temperate japonica
GP675,O. sativa,Japan,NA,NA,1.23,temperate japonica
GP676,O. sativa,Japan,NA,NA,1.53,indica
GP677,O. sativa,North Korea,NA,NA,0.73,temperate japonica
GP678,O. sativa,South Korea,NA,NA,1.07,temperate japonica
GP679,O. sativa,Indonesia,NA,NA,0.82,tropical japonica
GP680,O. sativa,Cuba,NA,NA,0.83,temperate japonica
GP681,O. sativa,Cuba,NA,NA,0.6,intermedia
GP682,O. sativa,Indonesia,NA,NA,0.74,temperate japonica
GP683,O. sativa,Indonesia,NA,NA,0.62,tropical japonica
GP684,O. sativa,Italy,NA,NA,0.83,tropical japonica
GP685,O. sativa,Italy,NA,NA,0.44,temperate japonica
GP686,O. sativa,Hungary,NA,NA,1.17,tropical japonica
GP687,O. sativa,Indonesia,NA,NA,1.05,intermedia
GP688,O. sativa,Indonesia,NA,NA,0.71,tropical japonica
GP689,O. sativa,Indonesia,NA,NA,1.09,intermedia
GP690,O. sativa,Indonesia,NA,NA,1.05,tropical japonica
GP691,O. sativa,Hungary,NA,NA,0.48,temperate japonica
