Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP104,O. sativa,China,26.35,106.42,1.65,temperate japonica
HP105,O. sativa,China,25.44,105.18,0.77,temperate japonica
HP106,O. sativa,China,36.4,117,0.68,temperate japonica
HP107,O. sativa,China,26.14,106.66,1,temperate japonica
HP108,O. sativa,China,26.25,105.92,0.86,temperate japonica
HP109,O. sativa,China,25.1,104.91,0.86,temperate japonica
HP110,O. sativa,China,36.4,117,1.17,temperate japonica
HP111,O. sativa,China,22.68,103.67,0.65,temperate japonica
HP112,O. sativa,China,31.22,121.48,0.94,temperate japonica
HP113,O. sativa,China,27.16,105.61,1.03,temperate japonica
HP114,O. sativa,China,27.13,104.71,0.74,temperate japonica
HP115,O. sativa,China,26.87,104.28,1.14,temperate japonica
HP116,O. sativa,China,42,122.83,0.91,temperate japonica
HP117,O. sativa,China,31.59,120.29,1.16,temperate japonica
HP119,O. sativa,China,19.05,109.83,1.86,indica
HP120,O. sativa,China,18.25,109.5,1.24,indica
HP121,O. sativa,China,23.08,113.14,1.01,indica
HP122,O. sativa,China,35.17,107.94,1.11,temperate japonica
HP123,O. sativa,China,38.75,114.97,0.76,temperate japonica
HP124,O. sativa,China,37.05,114.48,1.34,temperate japonica
HP125,O. sativa,China,45.27,131.04,0.7,temperate japonica
HP127,O. sativa,China,44.93,127.17,1.13,temperate japonica
HP128,O. sativa,China,32.13,114.08,1.48,temperate japonica
HP129,O. sativa,China,31.62,114.83,0.52,temperate japonica
HP130,O. sativa,China,32.13,115.04,0.87,temperate japonica
HP131,O. sativa,China,41.32,117.7,0.74,temperate japonica
HP132,O. sativa,China,31.4,121.24,1.33,temperate japonica
HP133,O. sativa,China,31.16,120.63,1.48,temperate japonica
HP134,O. sativa,China,31.16,120.63,1.25,temperate japonica
HP135,O. sativa,China,31.32,120.62,1.36,temperate japonica
HP136,O. sativa,China,31.59,120.29,0.84,temperate japonica
HP137,O. sativa,China,31.59,120.29,1.01,temperate japonica
HP138,O. sativa,China,31.36,119.82,0.93,temperate japonica
HP139,O. sativa,China,31.78,119.95,1.12,temperate japonica
HP140,O. sativa,China,31.89,121.15,0.81,temperate japonica
HP141,O. sativa,China,32.39,120.56,0.65,temperate japonica
HP142,O. sativa,China,33.38,120.13,0.81,temperate japonica
HP143,O. sativa,China,31.14,119.17,0.99,indica
HP144,O. sativa,China,28.16,113.63,0.9,indica
HP145,O. sativa,China,27.92,110.57,0.77,temperate japonica
HP146,O. sativa,China,30.4,104.04,0.81,temperate japonica
HP147,O. sativa,China,33.16,106.68,1.06,temperate japonica
HP148,O. sativa,China,26.49,113.77,0.66,temperate japonica
HP149,O. sativa,China,26.05,119.18,1.01,indica
HP150,O. sativa,China,26.65,118.16,0.58,temperate japonica
HP151,O. sativa,China,25.12,117.01,1.83,temperate japonica
HP152,O. sativa,China,24.59,112.07,0.52,temperate japonica
HP153,O. sativa,China,20.02,110.2,0.57,temperate japonica
HP154,O. sativa,China,25.17,106.09,1.13,temperate japonica
HP155,O. sativa,China,26.14,106.66,0.87,temperate japonica
HP156,O. sativa,China,26.35,106.42,1.48,temperate japonica
HP157,O. sativa,China,25.17,106.09,1.15,temperate japonica
HP158,O. sativa,China,30.35,114.17,0.65,temperate japonica
HP159,O. sativa,China,30.4,104.04,0.6,temperate japonica
HP160,O. sativa,China,32.62,114.38,1.33,temperate japonica
HP161,O. sativa,China,35.08,112.57,0.87,temperate japonica
HP162,O. sativa,China,26.35,106.42,0.71,temperate japonica
HP163,O. sativa,China,26.56,106.46,1.45,temperate japonica
HP164,O. sativa,China,28.57,108.48,0.79,indica
HP165,O. sativa,China,26.21,107.79,0.97,temperate japonica
HP166,O. sativa,China,26.35,106.42,1.34,temperate japonica
HP167,O. sativa,China,26.35,106.42,0.71,indica
HP168,O. sativa,China,26.35,106.42,0.84,temperate japonica
HP169,O. sativa,China,26.84,106.59,0.91,temperate japonica
HP170,O. sativa,China,43.45,87.36,0.63,temperate japonica
HP171,O. sativa,China,43.45,87.36,0.65,temperate japonica
HP172,O. sativa,China,26,107.86,0.83,temperate japonica
HP173,O. sativa,China,25.04,102.42,1.77,temperate japonica
HP174,O. sativa,China,25.85,114.02,0.87,indica
HP175,O. sativa,China,18.64,109.7,0.53,temperate japonica
HP176,O. sativa,China,27.57,119.7,1.08,indica
HP177,O. sativa,China,27.57,119.7,1,indica
HP178,O. sativa,China,30.16,120.1,1.07,intermedia
HP179,O. sativa,China,27.68,120.55,2.58,indica
HP180,O. sativa,China,27.08,120.08,1.01,indica
HP181,O. sativa,China,27.08,120.08,0.94,indica
HP182,O. sativa,China,26.84,116.32,1.53,indica
HP183,O. sativa,China,28.14,120.94,0.66,indica
HP184,O. sativa,China,30.16,120.1,1.13,indica
HP185,O. sativa,China,28.8,121.13,0.77,indica
HP186,O. sativa,China,28.92,120.02,1.06,indica
HP187,O. sativa,China,22.36,106.84,0.99,indica
HP188,O. sativa,China,29.15,118.39,1.52,indica
HP189,O. sativa,China,29.15,118.39,0.59,indica
HP190,O. sativa,China,29.61,119.05,1.92,indica
HP191,O. sativa,China,29.61,119.05,1.22,indica
